 85	  11.01.2020	  01:12:17	    temperatur	  24.799999237060547	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 86	  11.01.2020	  01:13:18	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 87	  11.01.2020	  01:14:18	    temperatur	  24.799999237060547	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 88	  11.01.2020	  01:15:22	    temperatur	  24.799999237060547	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 89	  11.01.2020	  01:16:22	    temperatur	  24.700000762939453	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 90	  11.01.2020	  01:17:23	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 91	  11.01.2020	  01:18:23	    temperatur	  24.799999237060547	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 92	  11.01.2020	  01:19:24	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 93	  11.01.2020	  01:20:24	    temperatur	  24.700000762939453	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 94	  11.01.2020	  01:21:25	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 95	  11.01.2020	  01:22:26	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 96	  11.01.2020	  01:23:26	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 97	  11.01.2020	  01:24:27	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 98	  11.01.2020	  01:25:27	    temperatur	  24.700000762939453	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 99	  11.01.2020	  01:26:28	    temperatur	  24.700000762939453	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 100	  11.01.2020	  01:27:28	    temperatur	  24.700000762939453	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 101	  11.01.2020	  01:28:29	    temperatur	  24.700000762939453	    feuchtigkeit	  44.79999923706055	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 102	  11.01.2020	  01:29:30	    temperatur	  24.600000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 103	  11.01.2020	  01:30:33	    temperatur	  24.600000381469727	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 104	  11.01.2020	  01:31:33	    temperatur	  24.600000381469727	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 105	  11.01.2020	  01:32:34	    temperatur	  24.600000381469727	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 106	  11.01.2020	  01:33:34	    temperatur	  24.600000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 107	  11.01.2020	  01:34:35	    temperatur	  24.600000381469727	    feuchtigkeit	  44.5	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 108	  11.01.2020	  01:35:36	    temperatur	  24.600000381469727	    feuchtigkeit	  44.599998474121094	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 109	  11.01.2020	  01:36:36	    temperatur	  24.600000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 110	  11.01.2020	  01:37:37	    temperatur	  24.600000381469727	    feuchtigkeit	  44.400001525878906	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
 111	  11.01.2020	  01:38:37	    temperatur	  24.600000381469727	    feuchtigkeit	  44.70000076293945	    feinstaub 2.5 	    feinstaub 10 	  10	  2.5 
